soil_moisture_pct,temperature_c,humidity_pct,flow_rate_lpm,growth_stage,soil_type,recent_irrigation_l,irrigation_required
76.44,31.85,50.77,5.75,initial,loamy,10.63,0
44.06,18.8,47.54,3.45,development,clay,4.7,0
73.3,22.4,89.19,0,development,loamy,0,0
6.72,28.47,81.37,5.27,initial,clay,6.45,0
22.95,30.78,83.45,4.89,initial,loamy,4.59,0
33.36,23.01,84.11,0,initial,clay,0,0
51.89,27.75,53.55,3.17,late,clay,3.45,0
74.2,28.95,48.71,4.44,initial,clay,1.34,0
32.14,26.51,83.27,4.8,development,sandy,4.61,0
25.7,32.6,83.57,4.53,development,loamy,9.54,0
55.96,18.84,78.8,2.32,late,clay,19.76,0
39.53,19.5,86.52,4.47,development,loamy,6.58,0
48.19,30.06,60.38,1.91,late,sandy,28.56,0
85.09,35.56,82.85,5.53,development,clay,11.04,0
74.56,37.68,66.39,3.58,mid_season,sandy,2.98,0
47.98,23.43,69.7,0,initial,loamy,0,0
50.92,32.56,51.76,0,development,clay,0,0
84.48,28.73,71.27,0,development,clay,0,0
80.98,31.04,52.56,3.52,late,sandy,3.69,0
53.46,27.07,49.76,3.04,initial,clay,10.43,0
62.51,24.81,85.12,2.5,development,sandy,3.81,0
86.55,35.24,80.13,0,late,loamy,0,0
83.73,26.97,51.68,4.44,initial,clay,8.41,0
23.08,32.86,72.15,4.13,mid_season,clay,1.0,0
63.01,35.89,85.08,3.4,mid_season,clay,22.7,0
69.64,29.11,55.78,3.55,mid_season,loamy,7.45,0
59.12,29.28,82.77,4.3,mid_season,loamy,3.64,0
39.22,36.47,86.28,4.27,late,clay,18.05,0
95,23.59,40.91,4.72,late,clay,12.17,0
37.49,33.1,60.14,3.12,mid_season,sandy,8.35,0
27.88,37.77,50.5,4.71,initial,sandy,12.65,0
23.65,37.61,79.24,4.38,mid_season,clay,27.52,0
50.04,31.33,59.84,4.44,initial,clay,1.32,0
55.66,31.45,67.7,3.89,development,clay,1.05,0
32.02,29.65,56.15,3.04,development,loamy,1.31,0
13.21,36.16,80.44,4.78,late,clay,30.55,0
52.07,24.14,73.37,4.62,late,clay,18.85,0
18.4,20.27,44.03,5.16,mid_season,loamy,10.1,0
53.94,33.64,80.68,2.39,late,sandy,9.79,0
76.53,34.63,61.12,2.68,mid_season,sandy,1.3,0
50.13,21.23,79.16,4.14,development,loamy,22.65,0
63.48,29.04,70.06,0,mid_season,sandy,0,0
32.01,27.04,60.61,4.68,mid_season,loamy,10.68,0
86.57,36.87,45.69,2.09,mid_season,loamy,13.7,0
40.85,36.67,67.25,6.35,initial,loamy,5.49,0
62.38,19.92,74.62,6.68,development,clay,3.6,0
61.11,27.17,67.46,2.95,late,clay,9.05,0
43.31,20.53,79.66,3.66,late,loamy,13.38,0
46.2,35.93,40.59,3.87,initial,loamy,10.92,0
69.51,34.14,53.67,4.86,late,clay,13.34,0
63.5,20.76,75.98,3.86,mid_season,loamy,13.82,0
61.43,36.64,67.27,5.62,development,loamy,11.12,0
53.2,21.48,83.27,0,late,sandy,0,1
58.75,24.65,70.8,4.27,mid_season,clay,20.83,0
67.18,25.4,75.19,1.89,initial,clay,3.09,0
95,21.27,82.29,0,mid_season,loamy,0,0
73.67,34.52,68.98,4.77,development,loamy,8.28,0
39.4,24.5,71.89,3.59,late,sandy,5.02,0
45.54,35.71,62.74,0,initial,loamy,0,0
54.92,37.49,68.2,5.32,initial,sandy,9.42,0
75.26,25.78,69.97,4.52,development,loamy,7.65,0
54.05,37.62,50.07,4.51,mid_season,loamy,16.01,0
69.33,21.87,57.01,5.09,late,clay,19.65,0
44.36,30.74,85.37,4.19,initial,clay,1.96,0
64.72,20.33,79.97,0,initial,clay,0,0
45.19,22.65,65.67,0,mid_season,loamy,0,1
83.81,21.89,65.59,5.85,initial,clay,1.65,0
34.58,35.89,75.07,4.46,development,sandy,10.37,0
64.53,26.14,44.19,2.34,mid_season,sandy,5.36,0
80.11,31.23,83.15,4.35,development,loamy,9.15,0
89.29,30.67,43.2,3.05,mid_season,clay,7.01,0
68.07,33.32,53.4,4.36,late,sandy,11.91,0
48.57,21.51,47.48,2.65,late,loamy,16.8,0
70.32,33.5,52.66,4.54,mid_season,clay,13.72,0
53.44,26.5,41.0,0,initial,clay,0,0
62.0,27.21,72.21,3.09,initial,loamy,5.21,0
24.57,29.75,46.82,3.43,initial,loamy,4.89,0
76.33,37.0,41.2,0,mid_season,loamy,0,0
61.04,26.08,57.19,4.21,late,sandy,5.28,0
79.62,31.66,84.28,0,development,clay,0,0
20.01,31.28,52.15,1.91,mid_season,sandy,0.39,0
70.67,18.01,69.35,0,late,clay,0,0
60.13,30.77,89.53,5.75,mid_season,loamy,13.32,0
78.71,25.1,57.94,3.68,late,sandy,0.6,0
57.46,18.93,82.7,4.38,mid_season,clay,12.94,0
39.37,35.66,56.03,4.02,mid_season,clay,11.87,0
56.7,22.65,56.22,4.14,late,clay,8.15,0
52.27,20.28,65.93,3.64,mid_season,sandy,8.1,0
68.31,35.71,81.36,4.64,development,loamy,11.26,0
49.68,25.37,51.87,4.65,development,loamy,24.65,0
40.95,20.75,85.6,4.38,mid_season,sandy,3.95,0
64.81,26.29,43.99,0,development,loamy,0,0
37.84,31.65,80.64,3.9,initial,sandy,0.82,0
53.87,35.58,88.58,4.68,mid_season,loamy,3.12,0
53.06,20.81,85.44,0,mid_season,sandy,0,1
29.38,29.55,65.26,4.03,initial,clay,7.21,0
45.58,22.64,84.06,4.82,mid_season,clay,5.56,0
57.55,29.2,42.1,4.96,development,loamy,4.73,0
75.43,36.91,81.75,4.23,late,clay,3.57,0
48.16,27.88,71.02,5.01,development,loamy,3.62,0
57.57,20.73,65.82,3.07,development,clay,6.88,0
53.84,18.54,51.31,4.85,late,sandy,4.08,0
66.76,21.16,81.14,0,initial,loamy,0,0
64.69,30.68,76.57,3.38,late,loamy,18.59,0
36.16,18.49,42.78,5.15,late,loamy,20.82,0
31.07,26.49,85.83,3.31,mid_season,clay,19.27,0
35.28,29.44,86.45,0,mid_season,loamy,0,1
32.91,34.66,56.08,3.42,mid_season,clay,16.11,0
54.17,20.63,69.06,3.04,late,sandy,21.94,0
44.79,36.9,61.25,4.91,mid_season,loamy,4.92,0
47.5,34.64,87.65,0,initial,clay,0,0
61.76,27.93,44.71,0,mid_season,clay,0,0
23.28,18.06,40.69,4.26,development,loamy,10.21,0
16.72,36.81,54.9,2.56,late,clay,14.27,0
55.42,26.13,74.53,3.28,mid_season,loamy,0.38,0
43.59,21.52,69.51,0,mid_season,sandy,0,1
55.26,29.34,65.93,5.26,late,sandy,11.73,0
70.78,26.92,55.16,3.56,mid_season,loamy,3.36,0
67.41,28.78,77.61,0,mid_season,sandy,0,0
41.99,30.79,81.82,4.88,mid_season,loamy,16.57,0
51.32,32.12,72.59,5.7,late,loamy,8.54,0
53.19,19.87,69.45,0,late,loamy,0,0
44.82,25.09,75.98,4.33,late,sandy,13.53,0
62.84,21.11,87.23,4.8,development,loamy,18.92,0
52.91,30.56,65.69,3.97,initial,clay,2.05,0
5,28.74,41.95,3.99,mid_season,loamy,11.96,0
70.87,30.53,66.76,3.44,late,loamy,16.85,0
77.99,21.13,45.22,4.68,development,clay,5.59,0
93.72,24.83,86.72,3.89,development,clay,5.87,0
95,18.94,86.26,6.03,late,loamy,8.25,0
46.66,37.55,46.09,3.52,development,clay,11.99,0
82.51,25.47,44.01,4.67,mid_season,loamy,21.26,0
84.7,31.06,50.31,3.55,initial,clay,6.15,0
71.63,25.31,83.58,4.69,late,sandy,5.72,0
49.96,20.46,82.67,4.37,late,loamy,22.06,0
74.75,22.83,45.84,4.13,late,loamy,8.69,0
32.36,34.75,63.53,5.66,late,sandy,3.85,0
61.84,37.84,59.21,5.8,mid_season,clay,11.96,0
32.88,32.34,49.14,3.48,initial,clay,22.61,0
81.21,35.91,63.85,2.84,mid_season,loamy,6.27,0
75.58,35.93,54.5,4.08,mid_season,clay,16.67,0
49.37,26.66,67.67,3.6,development,sandy,4.21,0
43.12,22.8,72.36,3.71,development,loamy,10.46,0
65.99,22.42,72.6,3.9,mid_season,clay,16.47,0
57.59,24.35,41.86,4.76,initial,sandy,1.92,0
77.43,24.34,56.48,0,initial,sandy,0,0
75.42,22.84,59.0,0,initial,loamy,0,0
95,18.34,71.59,0,initial,loamy,0,0
58.28,31.85,73.68,2.2,development,clay,10.46,0
78.1,25.84,44.2,0,late,sandy,0,0
43.59,36.03,55.26,3.27,development,sandy,9.3,0
21.42,18.93,89.81,4.7,development,sandy,5.53,0
58.56,21.74,42.52,3.78,mid_season,sandy,14.04,0
44.06,18.8,42.73,2.92,mid_season,loamy,4.14,0
33.61,19.83,86.81,4.66,initial,loamy,12.92,0
65.4,32.24,50.08,4.44,development,loamy,7.16,0
50.09,18.13,50.58,6.28,development,loamy,4.69,0
74.31,31.5,44.36,0,initial,clay,0,0
42.83,34.23,81.56,4.42,initial,clay,2.74,0
47.94,18.04,48.2,3.37,mid_season,sandy,25.03,0
71.74,21.09,71.25,0,late,loamy,0,0
28.34,26.65,78.86,3.21,late,sandy,18.35,0
72.83,28.7,51.41,0,mid_season,loamy,0,0
80.46,32.32,54.74,4.46,mid_season,sandy,15.07,0
46.29,19.66,55.08,5.97,mid_season,sandy,5.69,0
78.2,33.85,75.0,3.92,initial,sandy,21.62,0
28.58,34.59,45.25,3.81,late,loamy,4.56,0
37.01,35.99,71.85,3.43,late,sandy,10.32,0
39.83,25.85,70.39,6.86,initial,sandy,12.84,0
95,19.02,73.11,2.31,initial,loamy,10.17,0
33.14,23.67,58.39,3.94,mid_season,loamy,9.17,0
39.35,21.54,70.35,3.11,mid_season,loamy,2.16,0
57.92,24.8,62.99,3.64,development,clay,4.63,0
44.36,20.49,57.71,6.25,late,loamy,2.98,0
87.95,31.33,58.54,2.57,mid_season,loamy,14.01,0
64.9,26.25,42.38,6.39,development,clay,10.37,0
41.9,22.18,60.43,5.35,late,clay,8.19,0
17.36,30.22,66.55,4.1,development,clay,3.27,0
63.24,23.86,67.62,4.45,initial,clay,2.11,0
58.34,34.12,68.27,1.35,development,sandy,11.11,0
82.04,35.22,70.76,7.39,development,clay,15.21,0
61.65,32.71,88.25,2.62,development,clay,3.21,0
67.18,25.55,50.02,1.84,development,sandy,5.45,0
47.01,25.0,74.64,4.35,mid_season,clay,5.08,0
47.61,26.53,54.93,3.14,mid_season,sandy,0.85,0
41.16,34.36,58.25,6.25,late,clay,17.12,0
40.22,18.15,46.38,3.26,development,sandy,0.73,0
82.12,28.51,79.8,4.14,development,sandy,4.72,0
54.57,26.85,60.8,5.55,mid_season,loamy,10.22,0
77.1,22.26,51.36,4.36,late,sandy,9.48,0
78.19,21.43,84.53,4.01,mid_season,clay,8.11,0
46.93,18.07,49.7,4.6,late,sandy,1.51,0
67.59,20.99,81.23,3.65,mid_season,loamy,19.07,0
59.56,32.58,65.29,0,initial,clay,0,0
59.36,19.35,79.89,0,initial,sandy,0,0
46.83,31.41,89.92,5.87,late,loamy,10.47,0
13.73,25.53,70.26,3.62,mid_season,clay,7.22,0
38.05,26.45,79.13,4.9,development,clay,17.68,0
31.82,29.64,77.68,3.26,development,clay,12.17,0
50.7,35.23,87.67,3.94,development,sandy,8.47,0
72.84,23.44,47.24,3.03,mid_season,sandy,9.19,0
54.51,19.84,48.05,4.75,late,loamy,5.65,0
56.03,25.91,49.9,2.84,late,sandy,12.6,0
20.86,31.41,65.62,3.58,initial,sandy,1.08,0
72.2,20.26,75.35,2.05,mid_season,clay,8.37,0
81.84,34.16,42.1,4.23,late,loamy,10.53,0
85.27,31.55,86.96,3.6,late,sandy,1.92,0
56.61,36.4,70.12,3.72,development,sandy,10.82,0
62.93,24.98,66.45,3.96,initial,sandy,9.99,0
84.76,35.35,81.2,4.85,late,clay,9.24,0
47.91,30.64,46.69,1.6,mid_season,sandy,23.48,0
58.15,20.85,83.86,3.21,late,sandy,0.21,0
43.1,24.8,50.54,3.05,mid_season,clay,10.75,0
65.75,22.96,56.67,0,initial,loamy,0,0
87.71,32.71,80.56,4.83,mid_season,loamy,10.25,0
53.0,22.11,67.18,4.74,mid_season,sandy,11.93,0
51.97,31.27,89.61,4.23,initial,sandy,0.54,0
41.37,18.66,53.66,4.6,late,clay,12.33,0
69.45,22.41,53.84,5.49,initial,loamy,15.67,0
39.05,34.35,49.38,4.2,mid_season,clay,17.36,0
58.7,25.74,83.48,0,development,loamy,0,0
47.44,21.58,84.29,0,initial,sandy,0,0
68.1,21.07,57.32,4.33,initial,loamy,5.53,0
66.05,34.05,45.59,6.73,development,clay,18.51,0
77.91,21.89,61.14,2.8,mid_season,clay,12.29,0
16.75,27.13,53.94,1.63,initial,loamy,2.66,0
64.53,30.79,58.99,5.3,development,sandy,7.67,0
14.88,23.42,57.28,5.07,late,loamy,16.59,0
65.46,23.6,40.4,4.73,development,sandy,3.05,0
7.91,32.83,42.77,2.95,late,loamy,9.43,0
60.92,30.04,79.24,3.99,late,clay,15.58,0
62.88,24.66,47.95,2.66,initial,loamy,5.24,0
62.81,31.64,81.97,0,late,loamy,0,0
39.92,28.36,49.01,3.48,late,sandy,20.65,0
64.05,37.6,74.29,3.38,development,loamy,3.82,0
65.25,24.92,75.36,1.6,late,sandy,8.96,0
58.56,21.56,70.59,5.6,late,loamy,1.9,0
60.73,23.19,81.54,0,late,sandy,0,0
60.88,31.49,83.11,4.16,initial,loamy,3.69,0
36.24,28.63,78.62,0,initial,sandy,0,0
49.42,27.79,45.84,3.67,late,clay,0.48,0
75.5,24.79,52.22,3.64,development,loamy,5.49,0
38.78,26.37,57.32,4.72,late,clay,9.86,0
65.32,28.11,40.91,0,late,loamy,0,0
47.29,32.99,85.7,3.53,late,loamy,9.59,0
54.47,32.26,79.23,4.02,initial,loamy,5.89,0
47.32,27.51,55.14,4.71,mid_season,loamy,2.58,0
59.65,21.4,75.79,5.38,late,clay,10.04,0
66.44,35.53,59.98,2.94,development,clay,0.06,0
64.64,34.7,55.66,0,late,loamy,0,0
57.76,25.5,58.62,0,development,loamy,0,0
50.57,29.33,66.81,3.96,initial,sandy,1.48,0
51.98,24.88,41.94,0,initial,clay,0,0
22.39,35.64,71.39,0,initial,clay,0,0
85.25,19.73,84.61,1.72,mid_season,sandy,16.83,0
35.27,37.6,86.68,5.3,development,sandy,10.81,0
70.73,20.22,45.08,3.59,late,loamy,9.58,0
70.68,35.61,60.64,0,initial,sandy,0,0
14.99,20.57,71.42,5.02,development,clay,1.57,0
51.62,20.89,66.45,3.29,initial,sandy,9.79,0
64.13,37.52,44.9,3.87,initial,clay,10.58,0
74.19,21.63,47.67,4.28,late,loamy,21.47,0
70.4,28.89,45.91,0,late,sandy,0,0
54.54,30.64,45.8,3.66,late,clay,8.29,0
46.33,33.75,73.73,4.69,mid_season,loamy,22.34,0
42.3,29.37,52.6,4.9,initial,sandy,1.62,0
81.33,31.22,55.1,2.3,initial,sandy,5.09,0
74.19,31.83,51.2,3.0,late,clay,4.75,0
31.51,23.42,79.46,4.43,late,clay,15.94,0
76.2,22.53,42.84,0,initial,loamy,0,0
70.98,25.38,42.43,4.36,development,sandy,0.84,0
57.59,27.14,79.29,3.9,development,clay,8.49,0
64.61,33.9,89.23,0,initial,sandy,0,0
61.83,31.34,41.31,3.14,development,loamy,9.5,0
36.52,34.77,64.96,3.11,late,sandy,20.97,0
42.38,25.82,40.65,3.3,mid_season,clay,9.29,0
87.47,23.97,54.03,4.56,development,clay,14.68,0
60.35,21.49,82.28,4.9,development,loamy,10.07,0
40.83,22.04,81.07,4.38,mid_season,sandy,6.93,0
68.4,34.19,87.66,5.59,initial,sandy,3.62,0
95,27.7,66.26,3.98,development,sandy,14.69,0
64.01,31.04,50.05,4.21,development,sandy,8.15,0
72.31,19.78,78.77,4.58,initial,loamy,8.07,0
48.61,29.49,89.07,0,initial,sandy,0,0
52.94,19.09,76.1,4.56,initial,sandy,6.09,0
50.11,26.23,42.45,4.47,mid_season,sandy,15.28,0
40.24,26.31,51.61,4.51,development,sandy,4.7,0
63.98,25.17,45.38,4.24,mid_season,clay,15.03,0
52.16,34.51,43.15,4.4,late,loamy,20.58,0
48.69,36.52,75.58,4.63,development,sandy,14.64,0
26.16,30.17,77.03,4.34,mid_season,sandy,9.6,0
90.22,37.21,45.12,0,development,clay,0,0
63.47,28.63,60.58,0,late,clay,0,0
15.3,37.6,57.82,0,initial,sandy,0,1
69.69,25.64,88.3,4.04,late,clay,3.36,0
50.89,34.13,44.33,5.24,development,sandy,7.93,0
36.06,28.77,70.02,0,initial,sandy,0,0
80.85,33.58,48.81,0,initial,clay,0,0
16.99,30.59,79.49,4.46,late,loamy,15.63,0
58.13,30.21,82.32,4.37,development,loamy,3.54,0
40.65,29.45,77.98,1.74,development,clay,4.6,0
30.93,20.99,56.26,1.92,mid_season,clay,17.94,0
57.18,21.27,60.33,6.6,mid_season,clay,9.05,0
43.05,24.57,42.94,3.57,initial,sandy,14.08,0
64.08,25.88,57.9,5.31,late,loamy,9.02,0
39.72,27.81,53.16,3.27,initial,loamy,2.07,0
