soil_moisture_pct,temperature_c,humidity_pct,flow_rate_lpm,growth_stage,soil_type,recent_irrigation_l,irrigation_required
27.57,33.15,36.79,5.35,mid_season,clay,6.76,0
36.99,16.77,63.16,2.35,initial,loamy,11.8,0
85.36,17.14,82.29,0,initial,sandy,0,0
66.65,18.0,58.44,5.72,initial,clay,10.9,0
33.98,33.9,70.92,5.13,mid_season,sandy,9.62,0
43.25,26.62,59.38,3.92,initial,clay,6.24,0
70.54,16.79,84.85,3.08,initial,sandy,2.57,0
53.1,16.71,74.33,4.43,mid_season,loamy,5.46,0
10.32,21.94,63.02,4.15,development,loamy,19.24,0
50.56,28.73,68.74,4.28,late,clay,21.37,0
36.96,22.27,81.08,0,development,loamy,0,1
35.51,30.11,34.84,3.71,late,sandy,1.69,0
64.7,26.91,63.18,3.25,development,sandy,2.28,0
35.68,26.51,57.2,2.71,mid_season,sandy,5.03,0
79.91,21.9,51.86,4.48,mid_season,sandy,8.41,0
21.57,23.49,48.73,1.87,late,clay,3.2,0
72.97,23.89,39.74,4.01,initial,clay,0.69,0
49.44,27.65,36.57,2.91,mid_season,clay,12.64,0
48.71,17.98,60.21,7.8,initial,sandy,12.45,0
91.21,15.63,56.54,0,initial,loamy,0,0
87.69,17.97,67.86,4.27,initial,sandy,5.49,0
54.96,29.47,44.91,3.02,development,sandy,0.18,0
67.98,26.84,32.23,3.7,initial,clay,6.58,0
64.94,33.78,56.16,4.65,mid_season,clay,6.63,0
39.11,16.41,71.6,4.41,development,sandy,5.27,0
34.62,27.8,46.32,3.53,development,loamy,7.39,0
78.71,13.34,75.03,4.97,late,sandy,12.85,0
54.59,33.21,52.97,3.92,development,loamy,3.31,0
48.32,27.85,43.69,6.12,development,sandy,9.93,0
86.5,13.65,70.0,0,late,loamy,0,0
60.36,27.58,78.98,5.2,late,clay,16.94,0
29.12,32.77,38.98,5.44,development,clay,12.88,0
53.51,14.13,50.06,2.62,initial,sandy,11.37,0
39.67,23.03,34.72,2.94,late,clay,12.26,0
26.22,26.57,43.12,2.73,mid_season,clay,11.33,0
31.98,21.0,50.77,0,initial,clay,0,0
59.79,33.06,40.03,3.54,late,sandy,14.38,0
68.42,23.26,38.47,3.48,late,clay,19.72,0
48.34,28.42,51.7,6.06,initial,clay,6.3,0
43.49,31.04,63.92,4.35,late,clay,23.4,0
60.74,33.69,65.51,2.28,mid_season,clay,17.87,0
38.77,29.51,79.33,3.37,initial,sandy,0.18,0
76.46,22.21,36.55,3.7,initial,clay,13.73,0
64.82,26.43,33.18,4.54,mid_season,sandy,2.24,0
33.19,27.85,51.19,4.96,late,clay,16.93,0
76.93,21.85,82.1,6.15,development,loamy,0.13,0
88.27,20.61,53.56,3.75,initial,sandy,6.09,0
32.72,24.43,82.03,2.98,initial,sandy,18.82,0
65.99,27.02,71.99,3.62,late,loamy,19.3,0
62.16,31.77,51.64,5.65,mid_season,clay,14.21,0
49.52,28.18,57.98,2.21,development,loamy,8.15,0
52.81,16.77,73.7,2.55,development,sandy,4.7,0
67.01,25.88,54.8,4.82,late,loamy,8.46,0
72.14,27.41,55.23,2.79,initial,loamy,8.53,0
65.54,29.94,46.51,5.83,mid_season,sandy,5.21,0
75.55,17.53,42.52,0,development,clay,0,0
61.39,23.37,70.0,4.98,initial,clay,15.44,0
44.47,33.23,48.1,5.26,mid_season,sandy,12.26,0
46.06,14.91,80.42,1.34,late,loamy,7.22,0
13.4,22.03,60.65,3.37,late,sandy,7.08,0
75.96,26.67,53.99,0,initial,clay,0,0
85.99,27.66,80.03,0,late,loamy,0,0
41.4,20.98,57.78,5.35,initial,clay,7.4,0
9.72,33.82,49.39,1.91,mid_season,clay,18.81,0
42.23,20.36,46.68,2.73,late,loamy,3.29,0
50.12,27.16,64.52,4.65,initial,clay,0.63,0
50.36,21.21,64.59,3.82,development,sandy,13.27,0
36.74,31.94,42.89,4.64,late,clay,1.95,0
58.04,28.59,44.15,0,initial,sandy,0,1
70.57,26.91,43.92,4.48,development,clay,0.0,0
95,27.64,73.96,4.94,development,clay,3.12,0
73.12,13.27,54.97,0,initial,sandy,0,0
36.28,16.65,47.49,0,development,sandy,0,1
80.65,25.07,82.01,4.02,mid_season,loamy,9.17,0
43.96,31.69,31.4,3.01,initial,clay,6.21,0
28.11,17.09,52.97,6.73,development,loamy,12.37,0
60.83,21.4,68.78,3.77,initial,clay,9.56,0
20.93,22.4,40.04,3.21,mid_season,clay,22.26,0
94.81,29.57,46.2,2.46,late,clay,1.65,0
66.7,26.19,82.29,3.47,late,clay,3.54,0
71.04,17.11,72.51,2.75,development,clay,14.1,0
26.52,20.0,30.45,2.83,initial,loamy,0.93,0
72.73,16.8,63.91,3.02,initial,loamy,6.64,0
24.43,25.38,50.31,3.55,mid_season,loamy,14.07,0
54.68,15.99,70.03,5.59,development,loamy,14.27,0
45.66,24.13,63.67,3.34,mid_season,clay,15.15,0
50.81,31.99,77.03,3.95,mid_season,sandy,25.4,0
56.98,26.3,39.34,4.78,development,sandy,1.39,0
68.29,18.92,30.53,0,initial,loamy,0,0
60.78,29.0,49.78,4.7,development,sandy,9.43,0
47.57,15.29,42.35,3.79,late,clay,8.75,0
56.02,32.11,36.55,4.98,initial,loamy,7.37,0
70.85,16.65,40.29,4.65,late,loamy,6.49,0
49.05,14.46,43.24,4.04,mid_season,clay,21.29,0
78.5,29.9,52.14,3.44,late,sandy,13.32,0
74.45,22.33,34.65,2.56,mid_season,loamy,3.05,0
23.33,16.51,63.75,3.3,late,sandy,18.47,0
88.82,33.5,30.64,0,initial,loamy,0,0
66.79,28.48,72.33,3.74,late,loamy,13.79,0
57.92,24.56,48.63,4.5,late,clay,8.87,0
63.63,21.6,41.17,4.18,initial,sandy,0.16,0
55.99,18.9,30.56,3.98,initial,loamy,8.47,0
51.36,19.52,38.0,3.42,mid_season,loamy,6.89,0
24.05,13.05,72.94,3.08,development,clay,21.84,0
59.21,18.11,64.88,3.06,development,loamy,18.87,0
47.63,31.13,45.67,4.39,initial,sandy,13.19,0
42.83,22.03,53.11,3.46,development,loamy,17.78,0
80.78,26.11,34.24,3.85,initial,loamy,6.29,0
26.13,15.95,33.13,0,initial,sandy,0,0
61.9,27.99,31.62,5.14,mid_season,clay,15.46,0
61.17,16.69,50.93,5.56,late,sandy,12.37,0
52.57,24.93,44.71,3.9,mid_season,clay,6.21,0
47.72,23.88,56.09,2.32,late,clay,2.44,0
71.01,23.88,61.53,5.3,development,sandy,7.52,0
51.46,24.34,82.74,3.93,initial,clay,1.43,0
35.62,12.85,31.09,3.57,development,sandy,11.7,0
74.15,20.83,38.71,5.09,initial,sandy,9.29,0
33.98,16.76,53.29,3.09,initial,loamy,0.08,0
66.41,17.52,59.1,0,development,sandy,0,0
44.01,12.43,81.65,5.67,initial,clay,4.22,0
58.85,23.71,69.18,5.28,late,clay,16.53,0
38.27,23.67,46.07,3.11,mid_season,loamy,15.41,0
86.05,32.95,76.96,5.7,mid_season,clay,16.72,0
57.11,29.95,55.07,2.68,initial,loamy,7.42,0
47.71,26.16,50.54,4.9,development,sandy,7.8,0
65.54,20.54,54.34,6.46,mid_season,sandy,8.89,0
51.47,25.28,47.84,0,initial,sandy,0,0
32.37,18.19,64.63,3.53,late,loamy,4.46,0
65.12,23.31,72.46,3.97,development,clay,2.67,0
51.46,29.11,77.26,5.85,mid_season,sandy,8.7,0
41.18,29.0,51.12,2.38,late,sandy,8.31,0
56.6,31.31,80.93,3.7,late,sandy,12.19,0
64.73,26.94,80.08,2.21,development,loamy,25.19,0
28.58,13.5,75.41,0,development,sandy,0,0
91.72,28.93,75.89,3.79,late,clay,15.96,0
53.29,28.67,49.52,3.75,initial,clay,15.35,0
72.71,16.14,37.92,3.59,development,sandy,14.7,0
