soil_moisture_pct,temperature_c,humidity_pct,flow_rate_lpm,growth_stage,soil_type,recent_irrigation_l,irrigation_required
41.07,32.88,47.46,3.92,initial,loamy,1.52,0
22.88,24.39,57.65,4.2,development,clay,3.41,0
73.79,22.89,61.2,3.19,initial,sandy,9.9,0
65.89,19.84,74.96,3.11,initial,clay,3.51,0
64.98,25.66,68.77,0,initial,clay,0,0
51.52,25.98,67.76,3.37,initial,clay,14.06,0
29.38,20.28,70.36,3.54,development,loamy,1.41,0
91.14,21.08,68.6,3.55,mid_season,loamy,12.53,0
50.31,23.82,46.93,5.02,mid_season,loamy,12.95,0
31.71,28.25,74.17,4.39,mid_season,loamy,26.26,0
40.4,28.14,82.6,5.58,initial,sandy,8.07,0
42.56,26.85,66.31,0,initial,sandy,0,0
34.68,30.56,53.03,4.04,initial,loamy,5.48,0
53.91,23.29,65.57,4.63,late,clay,15.44,0
47.51,32.37,65.76,4.31,late,clay,19.44,0
60.92,22.38,74.91,3.22,initial,sandy,0.11,0
20.57,23.69,84.01,6.02,development,loamy,1.27,0
82.22,34.35,44.86,4.55,mid_season,sandy,2.49,0
60.71,32.68,72.75,2.78,late,loamy,11.08,0
43.65,25.46,65.66,4.44,mid_season,clay,12.09,0
95,21.32,71.63,4.48,mid_season,loamy,7.32,0
54.47,22.98,46.74,3.97,mid_season,loamy,7.9,0
40.67,27.17,69.29,0,development,loamy,0,1
65.86,34.27,73.11,1.59,initial,loamy,3.63,0
51.62,26.57,70.43,6.31,development,sandy,5.93,0
33.83,33.98,42.48,3.85,initial,loamy,6.56,0
47.34,31.16,65.45,3.34,development,sandy,0.59,0
71.42,25.38,41.43,3.31,mid_season,loamy,12.93,0
23.36,19.26,40.2,5.15,initial,loamy,13.6,0
62.83,23.16,40.51,6.4,initial,sandy,17.77,0
47.74,21.32,49.4,4.2,mid_season,clay,16.56,0
59.22,27.58,42.06,5.43,mid_season,sandy,5.67,0
44.54,19.95,59.31,4.51,late,loamy,16.99,0
67.84,21.21,81.85,5.56,late,loamy,2.69,0
53.69,23.88,40.07,0,development,loamy,0,0
35.48,25.7,47.5,2.85,late,loamy,11.33,0
70.51,31.23,79.01,4.36,mid_season,clay,11.48,0
37.19,34.91,73.4,0,initial,clay,0,0
66.25,19.25,72.71,3.49,initial,loamy,10.23,0
42.74,24.29,69.28,2.73,development,loamy,12.24,0
58.82,19.63,57.46,0,development,clay,0,0
46.0,21.38,71.51,1.99,mid_season,clay,18.44,0
53.8,27.3,80.77,4.47,late,sandy,15.96,0
80.38,18.04,76.55,4.36,development,loamy,10.1,0
56.52,18.53,76.73,3.28,mid_season,clay,10.6,0
44.0,18.14,42.77,3.79,late,clay,1.38,0
64.05,21.91,61.1,3.7,mid_season,loamy,15.21,0
40.91,31.56,46.67,4.85,development,clay,4.42,0
28.42,29.26,40.33,4.65,development,loamy,12.88,0
69.08,25.47,83.23,0,development,sandy,0,0
64.91,34.95,83.36,4.13,mid_season,clay,18.43,0
44.56,21.06,73.11,3.64,development,sandy,5.38,0
29.51,35.96,69.69,1.12,late,loamy,11.73,0
42.27,23.99,40.43,4.13,late,loamy,8.0,0
56.09,19.41,58.93,4.87,development,clay,19.98,0
49.53,21.52,83.61,2.83,mid_season,loamy,5.09,0
27.78,26.63,76.58,4.86,late,sandy,15.2,0
79.36,22.4,62.01,0,late,sandy,0,0
57.22,26.72,57.44,0,development,sandy,0,1
11.64,24.69,80.55,0,initial,sandy,0,0
38.13,32.74,54.42,3.79,late,loamy,8.66,0
52.5,35.22,35.41,3.51,late,sandy,17.71,0
48.11,23.82,52.02,4.94,development,clay,12.0,0
70.99,34.49,78.04,3.75,late,sandy,5.01,0
51.82,31.29,57.85,4.53,development,clay,5.47,0
46.06,25.44,56.77,5.86,mid_season,sandy,8.16,0
85.19,26.89,75.92,4.9,development,clay,11.56,0
33.83,24.66,71.19,2.88,mid_season,clay,30.26,0
60.05,33.53,60.99,3.7,mid_season,loamy,15.95,0
35.0,31.22,51.44,4.46,initial,loamy,2.78,0
68.89,18.89,35.03,2.55,mid_season,clay,21.3,0
34.37,35.99,81.38,3.61,development,sandy,6.17,0
79.34,28.94,64.26,5.16,development,clay,3.86,0
81.22,35.18,63.55,2.23,development,loamy,11.37,0
30.72,27.51,61.64,0,initial,clay,0,0
41.56,35.47,56.62,4.3,initial,loamy,9.77,0
39.65,19.81,41.95,3.06,mid_season,sandy,7.4,0
43.87,29.21,62.95,4.19,development,sandy,24.75,0
40.71,21.56,76.07,4.86,late,sandy,14.6,0
38.62,23.32,68.34,4.51,development,clay,14.75,0
47.28,24.65,75.05,4.72,late,sandy,6.88,0
29.37,33.07,83.68,3.53,development,clay,4.59,0
95,23.77,54.84,0,mid_season,sandy,0,0
70.12,34.21,75.6,3.53,development,loamy,9.16,0
60.67,18.73,39.2,4.32,mid_season,clay,18.09,0
27.39,19.82,54.62,0,late,sandy,0,1
58.01,29.81,74.18,2.74,initial,loamy,0.26,0
