soil_moisture_pct,temperature_c,humidity_pct,flow_rate_lpm,growth_stage,soil_type,recent_irrigation_l,irrigation_required
57.5,20.26,67.79,2.9,mid_season,sandy,18.73,0
41.62,26.12,75.61,5.31,late,loamy,12.35,0
59.9,29.34,45.74,4.61,late,loamy,19.11,0
32.29,27.47,51.43,3.6,late,clay,20.84,0
70.47,25.63,62.86,4.04,late,clay,4.43,0
76.36,15.45,60.92,5.18,mid_season,loamy,11.47,0
33.16,18.47,63.41,2.9,initial,loamy,6.39,0
72.63,25.09,69.9,3.3,development,sandy,3.01,0
23.39,17.51,54.34,4.64,late,loamy,10.22,0
85.84,20.38,76.15,2.75,development,loamy,1.46,0
49.76,13.28,84.93,2.92,mid_season,sandy,14.09,0
74.61,24.78,52.05,0,initial,sandy,0,0
76.37,27.82,43.07,3.36,initial,clay,1.01,0
85.63,28.66,50.9,2.09,initial,sandy,13.52,0
41.65,26.45,88.62,4.7,initial,sandy,5.77,0
73.95,15.15,65.62,4.47,development,loamy,1.34,0
26.42,14.38,42.93,0,initial,sandy,0,0
95,14.68,50.14,3.4,late,clay,8.95,0
73.98,23.1,41.45,5.23,development,loamy,12.49,0
90.89,12.72,68.82,5.45,development,sandy,1.64,0
56.91,25.91,82.93,2.49,mid_season,sandy,9.97,0
49.86,17.38,62.85,3.63,late,sandy,2.11,0
37.52,12.25,45.18,0,late,sandy,0,1
80.16,21.77,85.25,3.78,mid_season,loamy,24.32,0
51.15,24.84,54.12,0,development,sandy,0,1
33.07,22.8,55.7,2.44,initial,sandy,13.04,0
82.48,16.39,68.48,5.36,initial,loamy,9.21,0
69.0,13.33,89.71,4.88,development,loamy,3.17,0
70.62,22.49,56.57,3.19,development,clay,23.89,0
50.7,18.24,65.8,3.14,initial,loamy,0.54,0
59.77,24.88,65.65,1.91,late,loamy,0.06,0
90.86,15.89,82.71,0,initial,clay,0,0
38.73,12.91,72.78,5.38,initial,sandy,4.97,0
33.5,25.2,67.58,3.55,development,clay,7.65,0
76.64,20.87,70.86,4.09,mid_season,loamy,17.39,0
66.09,22.4,65.61,5.52,late,sandy,5.06,0
50.93,20.89,51.74,4.84,initial,loamy,11.67,0
55.58,21.19,43.84,3.88,mid_season,loamy,0.36,0
45.18,29.61,78.58,0,late,loamy,0,1
30.97,28.57,72.31,3.06,development,clay,11.44,0
47.07,17.57,52.4,2.75,initial,sandy,3.73,0
82.03,26.67,72.01,4.38,initial,clay,13.46,0
13.22,21.8,54.91,4.83,mid_season,loamy,14.97,0
15.52,22.32,49.55,3.12,mid_season,clay,13.98,0
51.96,24.15,88.48,4.96,initial,clay,12.63,0
34.53,25.7,54.64,4.06,late,clay,11.64,0
58.18,25.07,76.06,5.56,late,clay,13.46,0
42.52,25.95,74.3,0,initial,sandy,0,0
32.1,19.68,63.07,5.11,initial,clay,6.42,0
48.96,26.9,62.28,4.9,late,sandy,10.78,0
49.05,15.36,50.23,0,development,loamy,0,1
29.98,27.75,60.32,3.8,initial,clay,1.23,0
58.97,19.75,77.94,0,initial,sandy,0,0
66.59,27.06,53.53,2.69,initial,loamy,10.64,0
63.54,23.57,62.31,2.74,development,loamy,16.28,0
57.56,28.56,63.11,3.0,late,loamy,14.1,0
44.84,23.6,56.41,0,initial,sandy,0,0
40.14,15.95,81.86,3.04,initial,loamy,8.17,0
71.68,17.33,73.84,4.28,late,clay,1.67,0
48.51,15.37,46.51,0,late,sandy,0,1
70.57,17.4,51.9,3.23,late,loamy,11.0,0
43.82,12.83,55.57,3.79,late,sandy,3.66,0
79.62,19.23,69.68,2.19,late,clay,13.66,0
53.83,12.92,61.44,3.7,initial,sandy,0.17,0
49.31,19.94,59.1,2.6,initial,clay,19.29,0
55.53,18.13,67.4,2.74,development,clay,8.94,0
75.37,28.42,53.61,3.42,development,clay,3.14,0
75.88,17.66,82.87,4.11,late,loamy,10.0,0
66.59,14.14,87.97,5.98,mid_season,clay,15.33,0
60.19,23.88,81.39,2.93,initial,clay,0.64,0
69.94,20.92,62.61,5.25,mid_season,sandy,6.08,0
66.26,19.55,56.16,6.03,initial,loamy,3.03,0
85.16,14.01,55.85,0,initial,sandy,0,0
37.72,12.04,55.81,3.43,mid_season,sandy,16.49,0
39.46,23.88,48.34,0,late,sandy,0,1
25.34,26.02,52.38,4.43,initial,sandy,6.25,0
87.51,24.54,79.62,3.27,mid_season,clay,19.79,0
40.25,25.57,50.03,4.08,initial,clay,6.03,0
46.57,29.29,89.42,3.08,development,loamy,3.82,0
51.91,28.6,80.27,6.14,mid_season,sandy,6.93,0
75.93,17.78,81.59,3.19,initial,clay,9.26,0
43.92,26.39,77.44,3.06,late,sandy,10.1,0
68.6,17.78,88.58,3.21,development,clay,9.33,0
48.02,18.13,42.6,5.14,initial,clay,7.69,0
66.38,23.67,59.5,4.06,late,loamy,4.33,0
50.46,14.81,54.92,6.21,development,clay,14.8,0
56.73,20.43,62.81,3.63,development,sandy,6.06,0
83.74,17.19,69.09,3.67,late,sandy,5.64,0
48.38,28.16,41.0,5.1,late,sandy,15.98,0
78.54,28.31,65.93,4.39,initial,sandy,9.66,0
78.31,25.7,57.05,3.45,late,clay,18.88,0
67.89,24.78,60.28,5.47,development,loamy,10.52,0
75.46,26.07,62.35,4.43,initial,clay,5.76,0
46.0,29.24,51.12,0,late,sandy,0,1
61.0,19.23,79.53,5.0,development,sandy,9.68,0
62.06,20.55,77.53,3.77,development,sandy,15.25,0
37.54,13.57,82.37,0,mid_season,sandy,0,1
65.3,17.19,66.59,3.7,development,loamy,8.0,0
78.2,21.66,57.99,2.69,development,clay,16.48,0
31.32,15.05,54.26,0,development,loamy,0,1
5.36,19.7,76.08,1.77,development,clay,29.95,0
24.13,29.2,86.04,5.01,late,clay,21.73,0
34.05,13.97,57.53,3.3,late,clay,5.68,0
58.94,13.96,71.68,3.74,mid_season,loamy,5.51,0
52.66,29.98,70.05,3.49,late,sandy,14.32,0
27.4,21.77,59.79,2.7,development,clay,10.54,0
54.0,18.96,40.66,6.3,development,clay,10.23,0
42.67,24.51,60.94,3.41,initial,loamy,4.9,0
78.63,20.9,71.63,0,initial,loamy,0,0
50.87,29.64,40.27,4.36,late,loamy,12.56,0
66.14,25.31,87.7,1.61,late,sandy,19.15,0
25.01,17.08,58.17,2.84,initial,clay,18.23,0
89.5,16.29,55.47,3.56,development,sandy,4.08,0
69.38,24.2,64.63,3.65,mid_season,sandy,10.62,0
40.32,19.67,73.92,3.97,late,loamy,6.21,0
59.11,17.44,41.45,3.2,mid_season,clay,23.32,0
50.89,29.48,88.16,3.4,mid_season,clay,9.11,0
42.28,14.23,61.28,0,late,clay,0,1
42.48,16.96,85.19,4.59,mid_season,clay,16.1,0
53.47,29.28,60.8,5.43,mid_season,sandy,18.01,0
43.09,15.01,58.92,5.63,development,loamy,22.12,0
61.03,23.86,84.72,0,initial,clay,0,0
43.88,24.32,60.9,4.48,late,sandy,8.58,0
35.27,20.22,87.15,0.74,late,sandy,0.59,0
88.19,20.03,83.73,2.49,initial,clay,3.63,0
72.58,25.57,45.75,2.75,development,loamy,16.8,0
80.48,12.62,88.91,2.76,development,clay,13.72,0
58.6,25.47,61.52,4.75,mid_season,sandy,22.31,0
81.56,13.68,83.81,4.13,development,sandy,1.81,0
41.77,21.09,55.23,4.45,mid_season,loamy,8.18,0
15.84,27.11,76.22,4.34,development,clay,6.82,0
54.18,14.53,89.09,3.58,mid_season,loamy,10.63,0
60.95,20.59,82.51,3.98,initial,sandy,6.05,0
57.13,28.66,78.91,2.84,mid_season,clay,21.33,0
56.55,20.82,59.09,2.69,late,clay,15.19,0
67.44,14.01,82.72,3.43,initial,loamy,13.87,0
33.25,28.18,43.34,3.94,mid_season,loamy,10.89,0
53.36,18.42,71.03,5.6,late,loamy,2.34,0
61.3,21.84,47.58,3.69,mid_season,sandy,19.77,0
56.99,25.92,76.79,3.46,late,sandy,4.22,0
51.71,23.92,63.53,5.31,late,clay,24.79,0
67.93,27.73,45.0,4.79,mid_season,loamy,9.62,0
33.23,27.61,84.57,3.55,initial,loamy,16.3,0
48.44,20.1,72.12,0.65,mid_season,clay,16.86,0
80.59,18.14,76.05,3.2,development,clay,5.05,0
36.58,27.42,43.84,0,development,sandy,0,1
66.99,17.65,66.41,0,development,clay,0,0
53.21,13.48,72.7,3.43,late,sandy,23.7,0
35.25,21.05,52.55,3.59,late,loamy,6.52,0
41.42,27.63,75.39,4.45,mid_season,sandy,14.25,0
15.63,28.11,78.66,0,development,sandy,0,1
53.31,25.94,55.94,4.14,mid_season,clay,17.59,0
33.81,25.93,43.07,2.31,late,clay,1.81,0
71.93,23.9,85.44,5.31,late,clay,8.83,0
44.18,18.97,76.11,0,late,sandy,0,1
73.97,28.55,80.52,0,development,clay,0,0
87.97,13.53,62.6,3.21,development,sandy,6.67,0
69.11,24.83,53.12,5.16,initial,loamy,12.98,0
69.73,20.03,40.61,2.71,mid_season,loamy,13.6,0
80.52,15.47,59.73,4.64,development,clay,9.13,0
61.55,25.01,72.41,2.59,late,sandy,7.94,0
38.24,26.42,53.27,2.52,development,loamy,6.57,0
80.64,29.46,53.56,3.17,development,clay,9.52,0
58.87,29.08,45.84,2.66,mid_season,sandy,9.13,0
49.42,22.21,76.91,5.47,initial,sandy,0.31,0
56.68,14.79,43.57,4.59,initial,sandy,5.96,0
29.07,16.23,40.61,3.73,initial,sandy,9.53,0
54.04,16.06,45.72,2.87,mid_season,sandy,4.2,0
45.78,15.64,48.08,5.46,late,sandy,22.9,0
16.31,24.33,59.77,0,initial,clay,0,0
41.24,14.07,43.17,4.09,initial,clay,7.89,0
49.52,12.63,44.38,0,development,loamy,0,1
51.02,15.93,66.08,5.72,mid_season,loamy,15.38,0
57.58,15.19,41.5,4.17,mid_season,sandy,19.9,0
51.45,17.13,86.6,5.89,development,sandy,8.73,0
28.52,17.63,58.65,5.47,mid_season,sandy,22.03,0
70.53,15.82,48.7,3.97,late,loamy,9.43,0
63.9,12.48,84.78,1.89,late,loamy,9.15,0
42.79,12.93,80.99,5.01,mid_season,loamy,11.87,0
63.48,16.01,85.14,3.69,mid_season,loamy,0.79,0
57.03,21.86,54.47,0,late,clay,0,0
71.22,12.45,63.45,2.43,mid_season,clay,10.69,0
66.64,29.6,53.13,4.53,mid_season,clay,13.09,0
63.57,29.25,68.15,5.31,mid_season,clay,25.5,0
60.74,14.65,80.63,0,late,loamy,0,0
47.08,27.81,56.68,4.17,late,loamy,3.33,0
83.2,26.84,57.25,5.47,development,clay,12.23,0
76.96,13.66,88.05,3.48,mid_season,loamy,7.64,0
72.35,28.73,56.18,5.89,initial,clay,9.18,0
48.84,16.5,88.55,3.25,development,clay,3.98,0
27.3,15.27,58.57,4.21,development,clay,8.17,0
25.79,28.64,51.08,3.49,initial,sandy,17.45,0
77.72,15.33,78.76,5.05,mid_season,loamy,11.21,0
70.98,29.53,76.18,2.44,late,sandy,3.69,0
60.87,13.17,81.28,0,initial,clay,0,0
43.34,21.4,44.09,2.43,mid_season,clay,9.29,0
50.16,20.77,85.93,2.89,development,sandy,4.62,0
42.42,21.28,67.56,4.63,late,sandy,4.24,0
74.29,12.57,87.36,3.86,development,sandy,0.92,0
5,28.26,49.49,3.42,mid_season,loamy,11.93,0
58.22,21.43,48.64,2.11,development,sandy,11.91,0
66.81,21.42,82.82,3.32,initial,loamy,6.32,0
74.28,21.69,67.89,0,initial,loamy,0,0
57.28,19.72,58.81,0,initial,clay,0,0
55.7,15.6,80.65,0,initial,loamy,0,0
27.15,19.66,78.0,3.35,mid_season,loamy,1.54,0
79.91,14.25,87.09,4.61,development,clay,13.99,0
61.49,19.68,86.5,2.66,development,sandy,16.39,0
35.09,15.78,81.75,5.73,late,sandy,9.97,0
72.63,12.13,83.83,0,late,sandy,0,0
