soil_moisture_pct,temperature_c,humidity_pct,flow_rate_lpm,growth_stage,soil_type,recent_irrigation_l,irrigation_required
61.68,20.82,60.28,2.82,late,loamy,8.57,0
49.7,22.32,64.12,0,late,sandy,0,1
51.06,34.67,62.51,4.86,mid_season,sandy,11.13,0
24.83,24.68,58.65,0,late,sandy,0,1
51.67,31.39,50.72,2.49,mid_season,sandy,14.01,0
43.36,21.21,67.67,3.33,development,clay,7.43,0
68.44,21.14,53.15,4.95,initial,clay,2.15,0
42.59,32.47,81.63,5.91,development,loamy,10.7,0
53.51,30.96,54.59,0,initial,sandy,0,0
52.47,27.35,61.71,4.89,mid_season,sandy,19.57,0
53.07,18.23,79.87,4.06,late,sandy,9.47,0
69.75,29.16,39.95,4.27,development,clay,10.3,0
25.89,31.7,59.74,3.44,late,loamy,0.39,0
52.92,20.42,46.34,5.29,late,sandy,15.87,0
20.42,18.39,69.61,4.75,mid_season,loamy,8.67,0
66.38,30.78,74.4,0,development,clay,0,0
56.39,24.46,39.85,4.94,initial,sandy,7.14,0
63.81,30.6,43.93,6.19,initial,loamy,3.51,0
75.06,18.29,70.83,4.37,mid_season,clay,8.0,0
76.28,18.78,59.66,4.63,late,loamy,21.33,0
62.28,33.42,57.89,3.25,mid_season,loamy,7.01,0
63.52,24.93,71.23,4.58,development,sandy,25.92,0
89.17,22.4,38.77,3.41,initial,clay,0.3,0
50.93,35.53,75.95,6.53,initial,sandy,12.86,0
54.55,35.56,68.81,3.1,initial,sandy,2.26,0
63.4,28.43,72.41,4.05,late,sandy,3.94,0
44.3,32.16,42.23,4.68,late,clay,11.09,0
47.33,20.28,78.79,3.51,late,loamy,17.88,0
47.02,18.86,69.65,0,late,loamy,0,1
72.9,30.62,63.83,4.21,development,clay,14.52,0
50.53,26.39,44.36,3.71,mid_season,loamy,5.35,0
61.48,32.9,44.67,3.4,mid_season,loamy,13.55,0
40.46,31.0,84.48,4.88,initial,loamy,9.6,0
73.52,21.6,47.11,4.34,development,clay,8.01,0
70.83,35.67,68.21,4.07,development,clay,8.42,0
55.65,19.43,75.79,0,development,clay,0,0
62.47,19.29,44.1,4.43,late,loamy,15.35,0
54.84,33.75,45.11,4.25,development,clay,8.98,0
61.69,22.44,48.74,5.03,late,clay,4.47,0
58.05,21.09,54.43,2.45,mid_season,clay,14.47,0
59.5,27.85,73.19,4.27,initial,clay,3.13,0
44.05,35.92,84.83,5.78,initial,loamy,4.97,0
31.33,26.74,81.22,3.32,mid_season,clay,15.3,0
59.85,23.86,61.6,4.97,development,clay,4.1,0
81.15,26.6,83.93,5.59,development,loamy,4.04,0
72.46,18.63,82.04,3.47,mid_season,sandy,18.12,0
50.37,21.91,71.9,2.06,initial,sandy,8.92,0
76.61,24.31,72.59,0,initial,clay,0,0
44.99,20.17,80.65,4.11,initial,loamy,9.13,0
60.7,29.81,50.02,4.38,mid_season,clay,18.36,0
61.42,28.13,49.5,4.11,mid_season,clay,8.57,0
5,35.02,40.48,3.36,late,sandy,2.11,0
32.52,19.14,39.62,2.62,late,clay,15.33,0
80.38,34.96,41.05,4.98,late,sandy,2.02,0
32.54,28.93,71.52,0,initial,loamy,0,0
40.74,33.59,59.13,3.74,development,sandy,9.08,0
56.04,23.07,53.92,0,initial,sandy,0,0
68.35,29.86,52.41,4.43,mid_season,sandy,17.16,0
53.18,21.15,53.75,3.4,late,clay,10.72,0
24.42,31.75,44.81,4.35,mid_season,loamy,15.47,0
22.43,34.53,44.18,0,late,sandy,0,1
5,20.11,53.35,0,mid_season,sandy,0,1
64.61,18.5,69.68,3.6,initial,clay,3.21,0
43.17,18.43,49.55,4.16,late,loamy,3.29,0
51.21,32.31,76.04,4.52,late,loamy,1.06,0
46.31,35.47,45.37,4.71,late,loamy,3.26,0
92.8,35.05,41.54,4.09,development,loamy,13.82,0
53.1,31.68,65.98,5.05,development,clay,7.83,0
60.59,32.65,81.66,3.89,late,sandy,11.71,0
67.02,24.52,82.93,2.05,late,clay,15.38,0
